team,player_id,actions,aerial_events,aerial_wins,average_x,average_y,blocks,box_passes,carries,carry_progression_sum,clearances,completed_passes,counterpressures,crosses,dribbled_past,dribbles,duels,duels_won,final_third_passes,fouls,goals,interceptions,interceptions_won,key_passes,minutes,pass_progression_sum,passes,pressures,progressive_carries,progressive_passes,recoveries,shots,successful_dribbles,successful_under_pressure_actions,switches,through_balls,turnovers,under_pressure_actions,xg_sum,player,position,position_group,aerial_dominance_index,pressing_intensity_index,speed_recovery_index,shots_p90,progressive_carries_p90,dribbles_p90,clearances_p90,progressive_passes_p90,key_passes_p90,crosses_p90,interceptions_p90,turnovers_p90,xg_p90,duel_win_rate,pass_completion,pass_progression_per_pass,aerial_dominance_index_percentile,pressing_intensity_index_percentile,speed_recovery_index_percentile,net_xg_contribution_p90,pass_start_x,pass_start_y,line_breaking_pass_rate,pressure_state_rate,distribution_under_pressure,pass_receipt_x,pass_receipt_y,playstyle_cluster,functional_role
Argentina,2995,639,1,0,411.8647178591491,250.289754632405,4,16,184,792.0,0,126,15,24,4,29,3,1,2,0,1,2,2,11,304.81666666666666,673.6,164,34,27,25,10,7,18,127,13,1,49,143,0.53383544,Ángel Fabián Di María Hernández,Right Midfield,Central/Wide Midfield,0.0,10.924599486029853,2.9525944556837445,2.066816118978621,7.97200503034611,8.562523921482859,0.0,7.381486139209361,3.247853901252119,7.086226693640986,0.5905188911367488,14.467712832850347,0.15761995603914924,0.3333333333333333,0.7682926829268293,4.107317073170732,7.163742690058479,45.614035087719294,38.01169590643275,0.23202533632237957,87.11219512195122,51.25426829268293,0.10365853658536585,0.1402439024390244,0.8260869565217391,81.01940298507462,53.39154228855722,3,Progressive Winger
Argentina,3090,1646,44,27,288.6156737910704,234.22893667811002,8,2,445,1260.4,34,528,16,1,4,0,26,4,26,13,0,10,2,2,733.9,4397.3,565,54,40,155,27,1,0,45,9,0,38,60,0.048093256,Nicolás Hernán Otamendi,Left Center Back,Center Back,0.6136363636363636,7.8484807194440664,3.3110778035154653,0.12263251124131354,4.905300449652541,0.0,4.16950538220466,19.008039242403598,0.24526502248262708,0.12263251124131354,1.2263251124131354,4.660035427169914,0.00589779675705137,0.15384615384615385,0.9345132743362832,7.78283185840708,72.22222222222221,26.023391812865498,48.83040935672515,0.09345740978334924,42.77805309734513,34.09893805309735,0.184070796460177,0.061946902654867256,0.5714285714285714,41.86631578947368,33.362526315789474,2,Sweeper CB
Argentina,5503,1459,15,5,527.7926213313835,348.8641794944994,4,25,391,1664.8000000000002,1,306,33,7,5,36,15,4,32,11,9,0,0,19,733.9,2713.7000000000003,371,89,56,89,30,34,26,339,11,8,110,359,7.598649225,Lionel Andrés Messi Cuccittini,Right Wing,Attacking Midfield/Wing,0.3333333333333333,10.914293500476905,3.678975337239406,4.16950538220466,6.867420629513558,4.414770404687287,0.12263251124131354,10.914293500476905,2.330017713584957,0.8584275786891947,0.0,13.489576236544488,0.9318414365036108,0.26666666666666666,0.8247978436657682,7.314555256064691,33.47953216374269,45.32163742690059,57.748538011695906,1.0040719856247446,77.21024258760107,47.97681940700809,0.22371967654986524,0.20215633423180593,0.8666666666666667,74.51611570247934,50.682644628099176,3,Progressive Winger
Argentina,5507,555,9,8,385.07818277420716,69.34737906848544,13,3,122,167.6999999999999,9,153,32,2,0,3,12,5,4,7,0,4,2,2,393.3333333333333,1296.4,182,56,4,25,13,3,1,54,0,1,34,62,0.91222105,Nicolás Alejandro Tagliafico,Left Back,Fullback/Wingback,0.8888888888888888,13.728813559322035,2.9745762711864407,0.6864406779661018,0.9152542372881356,0.6864406779661018,2.0593220338983054,5.720338983050848,0.4576271186440678,0.4576271186440678,0.9152542372881356,7.779661016949153,0.20872854533898308,0.4166666666666667,0.8406593406593407,7.1230769230769235,96.78362573099415,66.08187134502924,39.1812865497076,0.22749125720338986,63.4521978021978,8.49945054945055,0.23076923076923078,0.12637362637362637,0.782608695652174,69.31086956521739,10.368115942028986,6,Wide Creator
Argentina,6909,401,0,0,65.52586562349427,285.4535390843195,0,0,99,189.9,1,123,0,0,0,0,0,0,5,0,0,0,0,0,733.9,6160.1,186,0,4,61,30,0,0,45,8,1,63,56,0.0,Damián Emiliano Martínez,Goalkeeper,Goalkeeper,0.0,0.0,3.678975337239406,0.0,0.49053004496525415,0.0,0.12263251124131354,7.480583185720126,0.0,0.0,0.0,7.725848208202753,0.0,0.0,0.6612903225806451,33.118817204301074,7.163742690058479,3.508771929824561,57.748538011695906,0.015942226461370758,11.218817204301073,41.306451612903224,0.5483870967741935,0.12365591397849462,0.5217391304347826,10.121176470588235,40.783529411764704,7,Goalkeeper
Argentina,7797,1767,6,2,446.410918700777,407.33297204351726,8,7,461,1205.7,4,475,42,15,8,13,15,8,38,10,0,10,6,7,634.7333333333333,3559.7,563,111,41,90,34,7,3,169,11,7,104,188,0.570042511,Rodrigo Javier De Paul,Right Defensive Midfield,Defensive Midfield,0.3333333333333333,18.007562230858102,4.820922172040752,0.9925428001260371,5.8134649721667895,1.8432937716626405,0.5671673143577355,12.761264573049049,0.9925428001260371,2.126877428841508,1.4179182858943389,14.746350173301124,0.08082737000840248,0.5333333333333333,0.8436944937833037,6.322735346358792,33.47953216374269,86.54970760233918,80.99415204678363,0.13754410144417603,65.76056838365896,58.065364120781524,0.1847246891651865,0.08703374777975133,0.8163265306122449,64.87304832713754,57.856319702602235,5,Holding Anchor
Argentina,11456,315,11,6,487.52502672333304,213.64267742624742,3,0,64,140.10000000000002,0,46,8,0,0,8,5,0,1,3,1,1,1,0,273.0,171.0,63,20,4,2,5,15,3,74,0,0,33,87,2.905046753,Lautaro Javier Martínez,Left Center Forward,Forward,0.5454545454545454,6.923076923076923,1.6483516483516483,4.945054945054945,1.3186813186813187,2.6373626373626373,0.0,0.6593406593406593,0.0,0.0,0.32967032967032966,10.87912087912088,0.9577077207692309,0.0,0.7301587301587301,2.7142857142857144,59.7953216374269,21.637426900584796,9.941520467836257,0.9432022262637365,72.62857142857143,35.44444444444444,0.06349206349206349,0.2857142857142857,0.5555555555555556,85.07076923076923,35.137692307692305,4,Target Forward
Argentina,16308,719,4,4,261.9366291992359,188.18801926450334,5,1,189,502.0,6,227,20,0,1,0,11,5,20,7,2,3,2,2,235.35,1898.7,240,49,14,61,10,3,0,25,6,0,15,28,1.5813709569999999,Leandro Daniel Paredes,Right Defensive Midfield,Defensive Midfield,1.0,20.26768642447419,3.824091778202677,1.147227533460803,5.353728489483748,0.0,2.294455066921606,23.326959847036328,0.7648183556405354,0.0,1.147227533460803,5.736137667304016,0.6047307674952198,0.45454545454545453,0.9458333333333333,7.91125,98.9766081871345,93.27485380116958,62.28070175438597,0.716394247418738,55.66041666666667,35.84166666666667,0.2375,0.05416666666666667,0.7692307692307693,53.33152709359606,35.402955665024635,0,Ball-Winner
Argentina,19597,695,18,10,409.8304413891198,62.84540420888025,14,4,168,577.2,7,170,17,14,4,5,19,8,10,9,0,3,2,5,397.4833333333333,1297.8999999999999,217,52,20,31,18,2,1,74,5,1,60,86,0.076122072,Marcos Javier Acuña,Left Back,Fullback/Wingback,0.5555555555555556,12.453352341817268,4.075642584594743,0.4528491760660825,4.528491760660825,1.1321229401652062,1.5849721162312886,7.019162229024278,1.1321229401652062,3.1699442324625773,0.6792737640991238,13.585475281982475,0.017235908792821504,0.42105263157894735,0.783410138248848,5.981105990783409,61.98830409356725,54.09356725146199,69.2982456140351,0.05006747405761249,67.58617511520738,9.761751152073733,0.17050691244239632,0.11059907834101383,0.6666666666666666,70.96984126984127,11.287301587301588,6,Wide Creator
Argentina,20572,1094,25,16,281.64367293391103,385.8637587013706,9,0,291,871.8000000000001,26,330,19,2,5,2,16,4,17,13,0,9,4,0,575.9166666666666,3343.2,372,58,29,96,16,0,2,67,6,0,43,73,0.0,Cristian Gabriel Romero,Right Center Back,Center Back,0.64,10.470264795253943,2.5003617421501954,0.0,4.531905657647229,0.3125452177687744,4.063087830994068,15.002170452901174,0.0,0.3125452177687744,1.406453479959485,6.719722182028651,0.0,0.25,0.8870967741935484,8.987096774193548,74.85380116959064,41.812865497076025,26.900584795321635,0.06297786138040805,42.965591397849465,56.9268817204301,0.23387096774193547,0.0913978494623656,0.8235294117647058,42.13082191780822,55.76438356164384,2,Sweeper CB
