player,team,rank_profile_v3,rank_impact_v4,rank_consolidated_v5,psxg_shot_stopping_value_v5,clutch_save_value_v5,shootout_win_probability_added_v5,support_composite_v5,delta_v5_minus_v3,delta_v5_minus_v4,gate_flags,notes
Dominik Livaković,Croatia,5,,1,0.3067019235,0.4903188591,0.3333333333,0.2596525097,-4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,"Elite PSxG, clutch, volume, and shootout evidence."
Andries Noppert,Netherlands,6,,2,0.1735647454,0.2147938518,0,0.5496552059,-4,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Damián Emiliano Martínez,Argentina,23,,3,-0.1685823755,0.437378453,0.3461538462,0.569452692,-20,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,"PSxG weakness is offset only by measured late/ET clutch, credited shootout WPA, and full-tournament exposure."
Yassine Bounou,Morocco,4,,4,0.05336637746,0.1230648488,0.12424437,0.6644825269,0,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,High knockout prevention and credited shootout evidence.
Diogo Meireles Costa,Portugal,8,,5,0.1190800615,0.1396042972,0,0.5640484234,-3,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Wojciech Szczęsny,Poland,1,,6,0.138539192,0.03179845173,0,0.5243451412,5,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,Strong PSxG evidence remains high after consolidation.
Shūichi Gonda,Japan,10,,7,0.1104102187,0.1645759668,0,0.4282009109,-3,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Matthew Charles Turner,United States,3,,8,0.03807447492,0.2444909585,0,0.8602260349,5,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,"Strong event evidence retained, but no longer a podium result."
Hugo Lloris,France,22,,9,0.1173699481,0.1622291875,0,0.4064640411,-13,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
Mathew Ryan,Australia,16,,10,0.009668840488,0.2505743296,0,0.6034307065,-6,,H1_martinez_top_10;H2_al_owais_outside_top_10;H3_turner_outside_top_3;H4_elite_core_three_in_top_8;H5_no_profile_mirage_podium;H6_identity_blind;H7_psxg_integrity;H8_clutch_monotonicity;H9_shootout_monotonicity;H10_single_metric_consolidation;H11_no_pedigree_feature;H12_baseline_preservation,
